Label,Generation,PR AUC,Lineage,Beats Baseline?,Baseline PR AUC,Dataset
Elastic_L30_C1 + Manual Upsampling_G0,0,0.664,origin of Elastic_L30_C1 + Manual Upsampling,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L30_C1 + SMOTE_G0,0,0.671,origin of Elastic_L30_C1 + SMOTE,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L30_C1 + ADASYN_G0,0,0.484,origin of Elastic_L30_C1 + ADASYN,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L30_C1 + Borderline SMOTE_G0,0,0.515,origin of Elastic_L30_C1 + Borderline SMOTE,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L30_C1 + SMOTETomek_G0,0,0.671,origin of Elastic_L30_C1 + SMOTETomek,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L30_C1 + SMOTEENN_G0,0,0.658,origin of Elastic_L30_C1 + SMOTEENN,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L30_C1 + Random Undersample_G0,0,0.663,origin of Elastic_L30_C1 + Random Undersample,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L30_C1 + Cluster Centroids_G0,0,0.669,origin of Elastic_L30_C1 + Cluster Centroids,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L30_C1 + No Resampling_G0,0,0.671,origin of Elastic_L30_C1 + No Resampling,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L50_C5 + Manual Upsampling_G0,0,0.663,origin of Elastic_L50_C5 + Manual Upsampling,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L50_C5 + SMOTE_G0,0,0.672,origin of Elastic_L50_C5 + SMOTE,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L50_C5 + ADASYN_G0,0,0.481,origin of Elastic_L50_C5 + ADASYN,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L50_C5 + Borderline SMOTE_G0,0,0.511,origin of Elastic_L50_C5 + Borderline SMOTE,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L50_C5 + SMOTETomek_G0,0,0.672,origin of Elastic_L50_C5 + SMOTETomek,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L50_C5 + SMOTEENN_G0,0,0.656,origin of Elastic_L50_C5 + SMOTEENN,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L50_C5 + Random Undersample_G0,0,0.631,origin of Elastic_L50_C5 + Random Undersample,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L50_C5 + Cluster Centroids_G0,0,0.647,origin of Elastic_L50_C5 + Cluster Centroids,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L50_C5 + No Resampling_G0,0,0.669,origin of Elastic_L50_C5 + No Resampling,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + Manual Upsampling_G0,0,0.663,origin of Elastic_L70_C10 + Manual Upsampling,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + SMOTE_G0,0,0.672,origin of Elastic_L70_C10 + SMOTE,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + ADASYN_G0,0,0.479,origin of Elastic_L70_C10 + ADASYN,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
Elastic_L70_C10 + Borderline SMOTE_G0,0,0.511,origin of Elastic_L70_C10 + Borderline SMOTE,✅ Yes,0.055,baseline_easy_w5_n5_d0.csv
